"Index","EURUSD.Open","EURUSD.High","EURUSD.Low","EURUSD.Close","EURUSD.Volume","EURUSD.Adjusted"
2000-03-15,0.9649,0.9712,0.964,0.9704,NA,NA
2000-03-16,0.9704,0.9737,0.9646,0.9682,NA,NA
2000-03-17,0.9682,0.9718,0.9662,0.9721,NA,NA
2000-03-20,0.9721,0.9744,0.9686,0.9715,NA,NA
2000-03-21,0.9715,0.974,0.9643,0.9654,NA,NA
2000-03-22,0.9654,0.9664,0.9582,0.9621,NA,NA
2000-03-23,0.9621,0.9715,0.9596,0.9701,NA,NA
2000-03-24,0.9701,0.9768,0.9678,0.9779,NA,NA
2000-03-27,0.9774,0.9787,0.9634,0.9645,NA,NA
2000-03-28,0.9667,0.97,0.9603,0.9614,NA,NA
2000-03-29,0.9615,0.9622,0.9482,0.9524,NA,NA
2000-03-30,0.9525,0.9615,0.9506,0.9596,NA,NA
2000-03-31,0.9596,0.9624,0.9533,0.9555,NA,NA
2000-04-03,0.9553,0.9603,0.9505,0.954,NA,NA
2000-04-04,0.9541,0.9672,0.9521,0.9672,NA,NA
2000-04-05,0.9616,0.9709,0.96,0.9625,NA,NA
2000-04-06,0.9606,0.9639,0.9568,0.9586,NA,NA
2000-04-07,0.9584,0.9609,0.9542,0.9553,NA,NA
2000-04-10,0.9593,0.9617,0.9593,0.9611,NA,NA
2000-04-11,0.961,0.9644,0.9568,0.9569,NA,NA
2000-04-12,0.9569,0.9604,0.9522,0.9533,NA,NA
2000-04-13,0.9534,0.9595,0.9517,0.9524,NA,NA
2000-04-14,0.9523,0.9615,0.9512,0.9622,NA,NA
2000-04-17,0.9649,0.9671,0.9542,0.9545,NA,NA
2000-04-18,0.9545,0.9563,0.9456,0.9495,NA,NA
2000-04-19,0.9495,0.9508,0.9366,0.938,NA,NA
